Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Bi Te 
     -1.61000    264.55037     30.72410    233.82627
     -1.60000    261.76495     29.23884    232.52611
     -1.59000    166.14478     19.88623    146.25855
     -1.58000     69.04540     11.11647     57.92893
     -1.57000     36.95912      8.21192     28.74720
     -1.56000     32.05574      7.66301     24.39274
     -1.55000     37.93254      8.61379     29.31876
     -1.54000     83.91195     13.77630     70.13565
     -1.53000    235.86172     28.99462    206.86710
     -1.52000    352.86107     40.33098    312.53009
     -1.51000    226.45551     27.58054    198.87497
     -1.50000     80.70645     13.28412     67.42235
     -1.49000     43.69888     10.02140     33.67773
     -1.48000     43.26817     10.41635     32.85365
     -1.47000     46.21315     10.78882     35.43720
     -1.46000     61.88471     12.29577     49.66519
     -1.45000    128.24756     18.85338    109.72827
     -1.44000    199.58599     25.39216    175.08888
     -1.43000    148.49602     19.52049    130.27818
     -1.42000     65.47218     10.90573     55.80407
     -1.41000     46.28415      9.04731     38.38907
     -1.40000     82.05522     12.36708     70.74612
     -1.39000    169.96691     20.52600    150.25545
     -1.38000    188.84073     22.61291    166.84162
     -1.37000    104.41099     15.17521     89.76416
     -1.36000     52.26172     10.65885     41.97566
     -1.35000     42.30249      9.79294     32.71645
     -1.34000     37.51004      8.61912     29.00144
     -1.33000     30.94444      7.07432     23.91145
     -1.32000     28.82207      6.57447     22.25638
     -1.31000     30.18727      6.85962     23.33585
     -1.30000     31.40045      7.36303     24.05984
     -1.29000     32.61153      7.77821     24.86664
     -1.28000     34.52487      8.15809     26.40233
     -1.27000     34.25240      8.10566     26.18525
     -1.26000     32.91004      7.90003     25.06645
     -1.25000     32.60826      7.79513     24.89178
     -1.24000     33.33032      7.97418     25.42537
     -1.23000     35.71705      8.68435     27.09160
     -1.22000     37.98631      9.25997     28.78640
     -1.21000     38.20055      9.24624     29.01771
     -1.20000     36.86765      8.97416     27.95191
     -1.19000     35.84031      8.82680     27.05770
     -1.18000     37.77683      9.38315     28.42803
     -1.17000     40.11950     10.12279     30.02620
     -1.16000     38.10736      9.63042     28.50297
     -1.15000     32.61776      8.17672     24.46256
     -1.14000     27.55922      6.94297     20.63615
     -1.13000     24.14361      6.19937     17.96612
     -1.12000     23.17180      5.97746     17.21531
     -1.11000     22.59539      5.82890     16.77642
     -1.10000     22.39535      5.85911     16.53807
     -1.09000     22.38322      5.78777     16.59558
     -1.08000     23.23936      5.84514     17.39422
     -1.07000     25.66693      6.57417     19.09275
     -1.06000     26.19110      6.90236     19.28874
     -1.05000     24.10250      6.48495     17.61755
     -1.04000     22.10409      6.10239     16.00170
     -1.03000     21.55983      5.99749     15.56234
     -1.02000     21.84365      6.06132     15.78233
     -1.01000     21.47160      6.01824     15.45336
     -1.00000     21.03403      6.05424     14.97979
     -0.99000     21.86338      7.00433     14.85906
     -0.98000     35.33354     16.63423     18.69931
     -0.97000     76.48239     44.47691     32.00548
     -0.96000     93.02606     55.67609     37.34996
     -0.95000     52.63134     28.95715     23.67419
     -0.94000     23.09539      9.17707     13.91833
     -0.93000     15.68654      4.68743     10.99911
     -0.92000     13.11907      3.85329      9.26579
     -0.91000     12.08050      3.60018      8.48032
     -0.90000     13.24099      4.15684      9.08427
     -0.89000     23.16603     10.70849     12.45948
     -0.88000     60.00165     35.34364     24.67153
     -0.87000     91.85662     56.47900     35.42121
     -0.86000     61.41815     36.06052     25.43318
     -0.85000     23.49852     10.70270     12.87726
     -0.84000     13.09407      3.85490      9.30283
     -0.83000     12.03838      3.18747      8.89470
     -0.82000     12.12151      2.97776      9.17468
     -0.81000     20.48664      4.06110     16.44060
     -0.80000     73.69888     12.37465     61.32761
     -0.79000    165.66511     29.26228    136.40314
     -0.78000    175.54415     45.04314    130.50102
     -0.77000    132.62471     60.63404     71.99067
     -0.76000    108.62101     63.98743     44.63358
     -0.75000    105.49753     65.40657     40.09097
     -0.74000     78.00032     47.41538     30.58494
     -0.73000     30.51511     16.29991     14.21521
     -0.72000     10.96272      4.00766      6.95506
     -0.71000      7.92767      2.24405      5.68362
     -0.70000      7.43005      2.01263      5.41742
     -0.69000      7.14352      1.89158      5.25195
     -0.68000      6.99270      1.90045      5.09224
     -0.67000      6.60334      1.92616      4.67718
     -0.66000      6.21564      1.74190      4.47374
     -0.65000      5.81429      1.47382      4.34046
     -0.64000      5.40269      1.34219      4.06051
     -0.63000      5.39147      1.27564      4.11583
